Brand,Racquet Name,Tension,Length,Pattern,Skip M Holes,Tie Off M,Start C,Tie Off C
Prince Tennis,PREMIER 115 ESP & 115L ESP,59 - 69,20'M - 19'C,14M X 16C,7T - 7B,6T,7T,8T - 6B
Prince Tennis,PREMIER 120 (textreme),55 -65,21'M - 19'C,16M X 19C,"8T - 7,9B",8B,8T,7T - 6B
Prince Tennis,PRO 110,57 - 67,19'M - 18'C,16M X 19C,8T - 8B,6T,8T,5T - 11B
Prince Tennis,RED LS,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,SHARK DB MP,53 - 63,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,SHARK DB OS,55 - 65,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,SHARK MP,55 - 65,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,SHARK MP LB,53 - 63,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,SHARK OS,57 - 67,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,SILVER LS,57 - 67,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Prince Tennis,SPECTRUM COMP 110,55 - 70,18'M -17'C,16M X 19C,8T - 8B,6B,8T,5T -11B
Prince Tennis,SPECTRUM COMP 90,50 - 65,17'M -17'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,THUNDER 750,53 - 63,17'M -16'C,14M X 18C,7T - 7B,5T,7T,4T -10B
Prince Tennis,THUNDER 820,57 - 67,18'M -18'C,16M X 19C,8T - 8B,6B,8T,5T -11B
Prince Tennis,THUNDER 850,57 - 67,18'M -18'C,16M X 19C,8T - 8B,6T,8T,5T -11B
Prince Tennis,THUNDER 970,60 - 70,20'M -18'C,16M X 21C,"8T - 6,8,10B",7T,8T,6T - 5B
Prince Tennis,THUNDER BOLT 110,53 - 63,20'M - 18'C,14M X 17C,7T - 7B,6T,7T,8T - 8B
Prince Tennis,THUNDER RIP OS,57 - 67,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 8B
Prince Tennis,THUNDER SCREAM 105,50 - 60,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 9B
Prince Tennis,THUNDER STRIKE 100,50 - 60,18'M - 18'C,14M X 18C,7T - 7B,6B,7T,8T - 8B
Prince Tennis,THUNDER ULTRA LITE Ti MP,50 - 60,19'M - 18'C,16M X 20C,"8T - 7,9B",6T,8T,7T - 8B
Prince Tennis,THUNDER ULTRA LITE Ti OS,50 - 60,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,THUNDERBLAST OS,57 - 67,18'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 11B
Prince Tennis,THUNDERBOLT MP,53 - 63,19'M -18'C,16M X 20C,"8T - 7,9B",6T,8T,7T - 8B
Prince Tennis,THUNDERBOLT OS,60 - 70,20'M -18'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 7B
Prince Tennis,THUNDERCLOUD Ti OS,57 - 67,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,THUNDEREXTREME Ti MP,53 - 63,19'M - 18'C,16M X 20C,"8T - 7,9B",6T,8T,5T - 6B
Prince Tennis,THUNDEREXTREME Ti OS,57 - 67,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,THUNDERLITE LONGBODY MP,53 - 63,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,5T - 8B
Prince Tennis,THUNDERLITE LONGBODY OS,57 - 67,19'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,THUNDERLITE MP,53 - 63,18'M -18'C,16M X 19C,"7,9T - 7,9B",8T,7T,5T - 8B
Prince Tennis,THUNDERLITE OS,57 - 67,18'M -18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,THUNDERSTICK MP,53 - 63,19'M -18'C,16M X 20C,"8T - 7,9B",6T,8T,7T - 8B
Prince Tennis,THUNDERSTICK OS,57 - 67,18'M -18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,THUNDERSTORM OS,60 - 70,19'M -18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,THUNDERSTRIKE LONGBODY OS,60 - 70,20'M -19'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,THUNDERSTRIKE OS,57 - 67,19'M -18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,THUNDERSUPERLITE Ti OS,45 - 55,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,TOUR 100 (16x18),53 - 63,20'M - 18'C,16M X 18C,8T - 8B,7T,8T,9T - 7B
Prince Tennis,TOUR 100 (18x20),50 - 60,20'M - 19'C,18M X 20C,"8,10T - 8,10B",9B,8T,7T - 7B
Prince Tennis,TOUR 100L TEXTREME,48 - 58,20'M - 19'C,16M X 18C,8T - 8B,7B,8T,9T - 9B
Prince Tennis,TOUR 100P TEXTREME,45 - 55,21'M - 19'C,18M X 20C,"8,10T - 8,10B",9T,8T,7T - 9B
Prince Tennis,TOUR 100T,53 - 63,20'M - 18'C,16M X 18C,8T - 8B,7T,8T,9T - 7B
Prince Tennis,TOUR 100T ESP,55 - 65,20'M - 18'C,16M X 16C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,TOUR 100T TEXTREME,48 - 58,20'M - 19'C,16M X 18C,8T - 8B,7B,8T,9T - 9B
Prince Tennis,TOUR 95,50 - 60,20'M - 19'C,18M X 20C,"8,10T - 9B",8B,8T,9T - 10B
Prince Tennis,TOUR 95 TEXTREME,45 - 55,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,6T - 6B
Prince Tennis,TOUR 98,50 - 60,20'M - 19'C,16M X 20C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,TOUR 98 ESP,53 - 63,20'M - 18'C,16M X 16C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,TOUR DIABLO MID,53 - 63,18'M - 17'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,TOUR DIABLO MP,55 - 65,18'M - 17'C,16M X 18C,8T - 8B,6B,8T,6T - 11B
Prince Tennis,TOUR GRAPHITE OS,57 - 67,18'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 11B
Prince Tennis,TOUR NXG GRAPHITE MID,53 - 63,20'M - 18'C,18M X 20C,"8,10T - 8,10,11B",9T,8T,7T - 9B
Prince Tennis,TOUR NXG GRAPHITE MP,55 - 65,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,TOUR NXG GRAPHITE OS,57 - 67,20'M - 18'C,16M X 19C,"7,9T - 8B",8T,7T,6T - 9B
Prince Tennis,TOUR PRO 98,50 - 60,20'M - 19'C,18M X 20C,"8,10T - 8,10B",7B,8T,9T - 9B
Prince Tennis,TRIPLE THREAT ATTITUDE 100,53 - 63,19'M - 18'C,16M X 20C,"7,9B",8B,7T,5T - 6B
Prince Tennis,TRIPLE THREAT ATTITUDE 115,57 - 67,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,TRIPLE THREAT BANDIT 110,57 - 67,18'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,TRIPLE THREAT BANDIT 95,53 - 63,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,5T - 8B
Prince Tennis,TRIPLE THREAT GRAPHITE 100,50 - 60,18'M - 16'C,16M X 18C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,TRIPLE THREAT GRAPHITE 107,52 - 62,18'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 11B
Prince Tennis,TRIPLE THREAT GRAPHITE 95,53 - 63,38' - 10'S,16M X 20C,"7,9T",8T,7T,6B
Prince Tennis,TRIPLE THREAT HORNET 100,53 - 63,19'M - 18'C,16M X 20C,"7,9B",8B,7T,5T - 6B
Prince Tennis,TRIPLE THREAT HORNET 110,57 - 67,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,TRIPLE THREAT REBEL 95,55 - 65,21'M - 18'C,18M X 20C,"9T - 8,10B",9B,7T,6T - 6B
Prince Tennis,TRIPLE THREAT RING,55 - 65,24'M - 17'C,18M X 17C,"8,10,11T",9T,1B,2B - 4T
Prince Tennis,TRIPLE THREAT RIP,50 - 60,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 8B
Prince Tennis,TRIPLE THREAT SCREAM 100,53 - 63,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,TRIPLE THREAT SCREAM 110,57 - 67,20'M - 18'C,16M X 19C,"8T - 7,9B",8B,6T,5T - 6B
Prince Tennis,TRIPLE THREAT SOVEREIGN,57 - 67,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 8B
Prince Tennis,TRIPLE THREAT STEALTH 100,53 - 63,19'M - 18'C,16M X 20C,"7,9B",6B,7T,5T - 6B
Prince Tennis,TRIPLE THREAT STEALTH 115,60 - 70,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,TRIPLE THREAT ULTRALITE,57 - 67,21'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,TRIPLE THREAT VENDETTA 110,57 - 67,18'M - 18'C,16M X 19C,"8T - 7,9B",8B,6T,5T - 6B
Prince Tennis,TRIPLE THREAT VENDETTA 95,53 - 63,18'M - 18'C,16M X 20C,"7,9T",8T,7T,6T - 6B
Prince Tennis,TRIPLE THREAT VIPER 115,50 - 60,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 8B
Prince Tennis,TRIPLE THREAT WARRIOR 107,57 - 67,18'M - 18'C,16M X 19C,8B,6B,7T,5T - 11B
Prince Tennis,TRIPLE THREAT WARRIOR 97,53 - 63,18'M - 17'C,16M X 20C,"7,9T - 7,9B",8B,7T,5T - 6B
Prince Tennis,TURBO BEAST MP,43 - 60,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,TURBO BEAST OS,45 - 62,20'M - 18'C,16M X 19C,"8T - 7,9B",8B,6T,5T - 6B
Prince Tennis,TURBO OUTLAW MP,55 - 65,20'M - 18'C,16M X 20C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,TURBO OUTLAW OS,57 - 67,20'M - 18'C,16M X 19C,"8T - 7,9B",8B,6T,5T - 6B
Prince Tennis,TURBO SHARK MP,43 - 60,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,TURBO SHARK OS,45 - 62,19'M - 18'C,16M X 19C,"7,9T - 7,9B",8T,7T,6T - 9B
Prince Tennis,VORTEX LITE MP,40 - 55,35' - 10'S,16M X 18C,8T - 8B,7T,8T,7B
Prince Tennis,VORTEX LITE OS,45 - 60,35' - 10'S,16M X 19C,8T - 8B,6T,8T,7B
Prince Tennis,VORTEX MP,40 - 55,35' - 10'S,16M X 18C,8T - 8B,7T,8T,7B
Prince Tennis,VORTEX OS,45 - 60,35' - 10'S,16M X 19C,8T - 8B,6T,8T,7B
Prince Tennis,VORTEX SB MP,40 - 55,35' - 10'S,16M X 18C,8T - 8B,7T,8T,7B
Prince Tennis,VORTEX SB OS,45 - 60,35' - 10'S,16M X 19C,8T - 8B,6T,8T,7B
Prince Tennis,WARRIOR 100,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 8B
Prince Tennis,WARRIOR 100 ESP & 100L ESP,55 - 65,18'M - 18'C,14M X 16C,"7T - 6,8B",6T,7T,8T - 7B
Prince Tennis,"WARRIOR 100, 100L & 100T TEXTREME",50 - 60,20'M - 18'C,16M X 18C,"8T - 7,9B",8B,8T,7T - 6B
Prince Tennis,WARRIOR 107 TEXTREME,50 - 60,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 6B
Prince Tennis,WARRIOR 107L TEXTREME,50 - 60,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 6B
Prince Tennis,WARRIOR 107T TEXTREME,50 - 60,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 9B
Prince Tennis,WARRIOR PRO 100,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 6B
Prince Tennis,WHITE LS,53 - 63,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8T,7T,10T - 9B
Pro Kennex Tennis,ASYMMETRIC,58 - 70,35' - 10'S,16M X 19C,"7,9T - 7,9B",6T,7T,6B
Pro Kennex Tennis,ASYMMETRIC 265,58 - 70,35' - 10'S,16M X 19C,"7,9T - 7,9B",6T,7T,6B
Pro Kennex Tennis,ASYMMETRIC REACH,55 - 68,38' - 10'S,16M X 20C,"8T - 7,9B",8B,7B,7T
Pro Kennex Tennis,ASYMMETRIC ULX,55 - 68,35' - 10'S,16M X 19C,"7,9T - 7,9B",6T,7T,6B
Pro Kennex Tennis,BLACK ACE 90,52 - 64,17'M - 16'C,16M X 19C,8T - 8B,6T,8T,7T - 7B
Pro Kennex Tennis,BLACK ACE 95 HERITAGE,53 - 60,20'M - 17'C,18M X 19C,"8,10T -8,10B",7B,8T,6T - 9B
Pro Kennex Tennis,CERAMIC DESTINY,53 - 63,36' - 10'S,16M X 19C,"7,9T - 7,9B",6B,7B,5T
Pro Kennex Tennis,CERAMIC DESTINY AVC,53 - 63,36' - 10'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T
Pro Kennex Tennis,CERAMIC INFINITY,55 - 64,36' - 9'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,CERAMIC INFINITY 110,57 - 67,36' - 9'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,CERAMIC PROPHECY,55 - 64,36' - 9'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,CERAMIC PROPHECY 110,53 - 64,36' - 9'S,16M X 18C,8T - 8B,6T,7T,6B
Pro Kennex Tennis,COMPOSITE DESTINY,53 - 63,36' - 10'S,16M X 19C,"7,9T - 7,9B",6B,7B,5T
Pro Kennex Tennis,COMPOSITE DESTINY 110,54 - 64,36' - 10'S,16M X 19C,8T - 8B,6B,8B,7T
Pro Kennex Tennis,COMPOSITE DESTINY AVC,53 - 53,36' - 10'S,16M X 19C,"7,9T - 7,9B",6B,7B,5T
Pro Kennex Tennis,COMPOSITE DESTINY AVC 110,56 - 66,36' - 10'S,16M X 19C,8T - 8B,7B,8B,7T
Pro Kennex Tennis,COMPOSITE PRESENCE,56 - 66,36' - 9'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T
Pro Kennex Tennis,COMPOSITE PROPHECY,55 - 64,36' - 9'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,CORE 1 NO. 06,52 - 68,36' - 9'S,16M X 18C,"7,9T - 8B",8T,7T,11B
Pro Kennex Tennis,CORE 1 NO. 10,52 - 68,38' - 10'S,16M X 19C,"7,9T - 7,9B",6T,7T,10B
Pro Kennex Tennis,CORE 1 NO. 20,52 - 68,39' - 10'S,16M X 19C,"8T - 7,9B",7T,8T,8B
Pro Kennex Tennis,CORE 1 NO. 22,52 - 68,39' - 10'S,16M X 19C,"8T - 7,9B",6T,8T,8B
Pro Kennex Tennis,CORE 1 NO. 24,52 - 68,39' - 10'S,16M X 19C,"8T - 7,9B",6T,8T,8B
Pro Kennex Tennis,DESTINY 265,55 - 65,36' - 10'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T
Pro Kennex Tennis,GRAPHITE DESTINY,53 - 63,36' - 10'S,16M X 19C,"7,9T - 7,9B",6B,7B,5T
Pro Kennex Tennis,GRAPHITE ENCORE 110,58 - 68,33' - 8'S,16M X 19C,"8T - 7,9B",6B,7B,6T
Pro Kennex Tennis,GRAPHITE INFINITY,55 - 64,36' - 9'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,GRAPHITE INFINITY 110,57 - 67,36' - 9'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,GRAPHITE LAUNCHER,57 - 67,36' - 10'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,GRAPHITE PRESENCE,56 - 66,36' - 9'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T
Pro Kennex Tennis,GRAPHITE PROPHECY,55 - 64,36' - 9'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,GRAPHITE PROPHECY 110,53 - 64,36' - 9'S,16M X 18C,8T - 8B,6T,7T,6B
Pro Kennex Tennis,GRAPHITE REACH 110,55 - 65,38' - 10'S,16M X 20C,"8T - 7,9B",6B,7B,7T
Pro Kennex Tennis,INFINITY 265,58 - 70,36' - 10'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,INNOVATOR 265,58 - 70,36' - 10'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,Ki 10,50 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,7T - 8B
Pro Kennex Tennis,Ki 10 PSE,50 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,7T - 8B
Pro Kennex Tennis,Ki 15,52 - 68,38' - 10'S,16M X 19C,"8T - 7,9B",6T,8T,8B
Pro Kennex Tennis,Ki 15 PSE,52 -68,38' - 10'S,16M X 19C,"8T - 7,9B",7T,8T,8B
Pro Kennex Tennis,Ki 20,55 - 68,20'M - 19'C,16M X 19C,"8T - 7,9B",6B,8T,7T - 8B
Pro Kennex Tennis,Ki 20 PSE,55 - 68,20'M - 18'C,16M X 19C,"8T - 7,9B",8B,8T,7T - 6B
Pro Kennex Tennis,Ki 30,52 - 68,20'M - 19'C,16M X 19C,"8T - 7,9B",6B,8T,7T - 8B
Pro Kennex Tennis,Ki 5,52 - 68,38' - 10'S,16M X 20C,8T - 8B,6T,8T,7B
Pro Kennex Tennis,Ki 5 PSE,52 - 68,38' - 10'S,16M X 20C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,Ki 5x,52 - 68,38' - 10'S,16M X 20C,8T - 8B,6T,8T,7B
Pro Kennex Tennis,Ki Q TOUR 300,55 - 68,20'M - 18'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 7B
Pro Kennex Tennis,Ki Q15,52 - 68,20'M - 18'C,16M X 19C,"8T - 7,9B",8B,8T,6T - 5B
Pro Kennex Tennis,Ki Q30,52 - 68,20'M - 18'C,16M X 19C,8T - 8B,7B,8T,6T - 6B
Pro Kennex Tennis,Ki Q5 (295),50 - 65,20'M - 19'C,16M X 20C,8T - 8B,7T,8T,6T - 7B
Pro Kennex Tennis,Ki Q5 (315),50 - 65,20'M - 19'C,16M X 20C,8T - 8B,7T,8T,6T - 7B
Pro Kennex Tennis,Ki Q5X,50 - 65,20'M - 19'C,16M X 20C,8T - 8B,7T,8T,6T - 7B
Pro Kennex Tennis,KINETIC 10G MP,50 - 65,36' - 10'S,18M X 20C,"8,10T -8,10B",6T,8T,6B
Pro Kennex Tennis,KINETIC 10G OS,55 - 68,36' - 10'S,18M X 20C,"8,10T -8,10B",6T,8T,6B
Pro Kennex Tennis,KINETIC 11G,58 - 68,20'M - 19'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 8B
Pro Kennex Tennis,KINETIC 15G,55 - 68,20'M - 18'C,16M X 19C,"8T - 7,9B",6B,8T,6T - 8B
Pro Kennex Tennis,KINETIC 20G,55 - 68,20'M - 18'C,16M X 19C,"8T - 7,9B",6B,8T,6T - 8B
Pro Kennex Tennis,KINETIC 20G REACH,55 - 68,20'M - 18'C,16M X 20C,"8T - 7,9B",6B,8T,7T - 8B
Pro Kennex Tennis,KINETIC CHARGED LIGTH 17G,55 - 68,20'M - 18'C,16M X 19C,"8T - 7,9B",6B,8T,6T - 8B
Pro Kennex Tennis,KINETIC PRO 15G PSE,55 - 68,38' - 10'S,16M X 19C,"8T - 7,9B",6T,8T,8B
Pro Kennex Tennis,KINETIC PRO 15G REACH,55 - 68,38' - 10'S,16M X 19C,"8T - 7,9B",6T,8T,8B
Pro Kennex Tennis,KINETIC PRO 20G REACH,55 - 68,19'M - 17'C,16M X 18C,"8T - 7,9B",6B,8T,7T - 8B
Pro Kennex Tennis,KINETIC PRO 5G & 7G,52 - 65,38' - 10'S,16M X 20C,8T - 8B,6T,8T,7B
Pro Kennex Tennis,KINETIC PRO 5G PSE,52 - 65,38' - 10'S,16M X 20C,8T - 8B,6T,8T,7B
Pro Kennex Tennis,KINETIC PRO 5G REACH MP,52 - 65,38' - 10'S,16M X 20C,8T - 8B,6T,8T,7B
Pro Kennex Tennis,KINETIC PRO 5G REACH OS,55 - 68,38' - 10'S,18M X 20C,"9T - 8,10B",7B,8B,6T
Pro Kennex Tennis,KINETIC PRO Ti 15G REACH,55 - 68,38' - 10'S,16M X 19C,"8T - 7,9B",6T,8T,8B
Pro Kennex Tennis,KINETIC PRO Ti 20G REACH,55 - 68,19'M - 17'C,16M X 18C,"8T - 7,9B",6B,8T,7T - 8B
Pro Kennex Tennis,POWER ZONE 110 REACH,50 - 60,38' - 10'S,16M X 20C,"7,9T - 8B",7B,8B,5T
Pro Kennex Tennis,PRESENCE 265,58 - 70,36' - 10'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T
Pro Kennex Tennis,SILVER ACE 90,52 - 64,17'M -16'C,16M X 19C,"7,9T - 7,9B",6T,7T,8T - 6B
Pro Kennex Tennis,SILVER ACE HERITAGE,53 - 60,20'M -17'C,18M X 19C,"8,10T -8,10B",7B,8T,9B
Pro Kennex Tennis,Ti ASYMETRIC 265,48 - 62,20'M - 18'C,16M X 20C,"8T - 7,9B",8B,8T,7T - 6B
Pro Kennex Tennis,Ti DESTINY PBT REACH,55 - 65,36' - 10'S,16M X 20C,8T - 8B,6T,8T,7B
Pro Kennex Tennis,Ti INFINITY REACH,55 - 65,38' - 10'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,Ti INNOVATOR REACH,55 - 65,38' - 10'S,16M X 19C,8T - 8B,7T,8T,7B
Pro Kennex Tennis,Ti INTENSITY PBT REACH,55 - 65,38' - 10'S,16M X 20C,8T - 8B,6T,8T,7B
Pro Kennex Tennis,Ti PRESENCE REACH,55 - 68,20'M - 18'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 5B
Pro Kennex Tennis,TYPE C 93,55 - 68,38' - 10'S,18M X 20C,"8,10T - 8,10B",7B,8B,5T
Pro Kennex Tennis,TYPE C 93 REDONDO EDITION,55 - 68,20'M - 18'C,18M X 20C,"8,10T - 8,10B",7B,8T,6T - 10B
Pro Kennex Tennis,TYPE C 98,55 - 68,22'M - 18'C,18M X 20C,"8,10T - 8,10B",7B,8T,6T - 13B
Pro Kennex Tennis,TYPE C 98 REDONDO EDITION,55 - 68,20'M - 18'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 7B
Pro Kennex Tennis,TYPE R,54 - 68,38' - 10'S,16M X 20C,8T - 8B,6T,8T,7B
Pro Kennex Tennis,TYPE S,58 - 68,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 8B
Pro Kennex Tennis,TYPE SX,58 - 68,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 8B
Slazenger Tennis,CHALLENGE 2000,53 - 60,36' - 9'S,16M X 19C,"8T - 7,9B",8B,7B,6T
Slazenger Tennis,CHALLENGE PLUS 105,53 - 60,36' - 10'S,16M X 19C,"7,9T - 7,9B",5B,7B,5T
Slazenger Tennis,CHALLENGE PLUS 95,53 - 60,36' - 10'S,16M X 19C,"7,9T - 7,9B",5B,7B,5T
Slazenger Tennis,MYSTIQUE 115,58 - 70,38' - 10'S,18M X 20C,"8,10T - 8,10B",6B,8B,5T
Slazenger Tennis,MYSTIQUE 95,55 - 65,18'M - 17'C,16M X 19C,"8T - 7,9B",6B,7B,5T
Slazenger Tennis,PANTHER PRO CERAMIC,55 - 62,33' - 9'S,16M X 19C,"7,9T - 7,9B",6B,7B,5T
Slazenger Tennis,PHANTOM 105,53 - 60,18'M - 17'C,16M X 19C,8B,7T,9T,6T-6B
Slazenger Tennis,PHANTOM 95,53 - 60,18'M - 17'C,16M X 19C,"8T - 7,9B",6B,8T,5T - 6B
Slazenger Tennis,PRO BRAIDED,55 - 60,19'M - 17'C,16M X 18C,"7,9T - 7,9B",6B,7T,5T - 8B
Slazenger Tennis,PRO CERAMIC OMS,55 - 62,33' - 9'S,16M X 19C,"7,9T - 7,9B",6B,7B,5T
Slazenger Tennis,PRO CERAMIC OMS PLUS,58 - 65,36' - 10'S,16M X 19C,"7,9T - 7,9B",6B,7B,5T
Slazenger Tennis,PRO X1,55 - 60,20'M - 17'C,16M X 18C,"7,9T - 7,9B",6B,7T,5T - 8B
Slazenger Tennis,QUAD 255 (FLEX),58 - 65,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B
Slazenger Tennis,QUAD 270 (FLEX),58 - 65,20'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 11B
Slazenger Tennis,SILHOUETTE 105,53 - 60,36' - 10'S,16M X 19C,8T - 8B,7T,8T,6B
Slazenger Tennis,SILHOUETTE 115,58 - 70,38'- 10'S,18M X 20C,"8,10T - 8,10B",6B,8B,5T
Slazenger Tennis,SILHOUETTE 95,55 - 65,34' - 10'S,16M X 19C,"8T - 7,9B",6B,7B,7T
Slazenger Tennis,TYPE 2 NX ONE,58 - 65,20'M - 18'C,16M X 19C,8T - 8B,6B,8T,7T - 7B
Slazenger Tennis,TYPE 2 NX THREE,55 - 65,20'M - 18'C,16M X 20C,"7,9,10T",6T,7T,5T - 7B
Slazenger Tennis,TYPE 2 NX TWO,58 - 65,20'M - 18'C,16M X 19C,"7,9T - 8B",7B,7T,5T - 6B
Spalding Tennis,ARISTA,57 - 65,19'M - 18'C,16M X 18C,"7,9T - 7,9B",6B,7T,6T -11B
Spalding Tennis,ASSAULT 110,55 - 65,18'M - 17'C,16M X 19C,8T - 8B,6T,8T,7T - 7B
Spalding Tennis,ASSAULT 115,55 - 70,19'M - 17'C,16M X 18C,"8T - 7,9B",6T,8T,5T -10B
Spalding Tennis,ASSAULT 95,50 - 58,18'M - 17'C,16M X 19C,8T - 8B,7B,8T,7T -11B
Spalding Tennis,ATP EXTREME PRO,55 - 65,20'M - 18'C,18M X 20C,"8,10T - 8,10B",6B,8T,6T - 10B
Spalding Tennis,ATP TOUR ENFORCER,55 - 65,19'M - 17'C,16M X 19C,"7,9T - 7,9B",6T,7T,5T - 6B
Spalding Tennis,ATP TOUR PRO LINE 200,55 - 65,19'M - 17'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 10B
Spalding Tennis,ATP TOUR PRO LINE 250,55 - 65,19'M - 17'C,16M X 19C,"8T - 7,9B",6T,8T,7T - 9B
Spalding Tennis,ATP TOUR PRO LINE 250 LONG,55 - 65,19'M - 17'C,16M X 19C,"8T - 7,9B",6T,8T,7T - 9B
